track_name,artist_name,album,genres,release_date,duration_ms,popularity,added_at
Haven't You Ever Been In Love Before?,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,"pop, uk pop",2023-05-19,230533,36,2023-05-30 12:16:12
Thank God These Walls Can’t Talk,Clara Mae,Thank God These Walls Can’t Talk,"alt z, swedish pop",2023-05-26,155255,28,2023-05-30 12:11:22
Please Never Fall in Love Again,Ollie MN,Songs from the Swamp,,2017-09-24,154000,53,2023-03-20 09:37:21
What If I Wasn't Done Loving You?,Fly By Midnight,What If I Wasn't Done Loving You?,singer-songwriter pop,2022-07-29,175562,38,2023-03-05 09:47:44
INFINITE,clide,PARACHUTES,singer-songwriter pop,2023-01-13,167624,8,2023-02-17 21:30:32
ALLERGIC,clide,ALLERGIC,singer-songwriter pop,2022-06-17,155200,45,2023-02-17 21:22:25
Here,Tom Grennan,Here,uk pop,2023-01-27,195145,47,2023-02-17 21:19:29
Pasta,New Rules,Go The Distance (Extended),singer-songwriter pop,2022-08-05,177561,47,2023-02-11 10:39:41
Sweet,Cigarettes After Sex,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",2017-06-09,291640,3,2023-02-05 21:58:55
Pistol,Cigarettes After Sex,Pistol,"ambient pop, dream pop, el paso indie, shoegaze",2022-11-15,234174,1,2023-02-05 21:54:41
Temptation,Shakka,Road Trip To Venus,r&drill,2021-09-24,176013,0,2022-08-22 12:28:58
Diana,One Direction,Midnight Memories (Deluxe),"boy band, pop, post-teen pop, talent show",2013-11-25,184666,62,2022-08-22 12:10:47
Solo,"Shakka, GoldLink",Road Trip To Venus,r&drill,2021-09-24,220546,0,2022-08-20 14:22:51
Take A Chance,Shakka,Road Trip To Venus,r&drill,2021-09-24,199053,0,2022-08-20 14:22:37
Doin' Time,"Shakka, Imani Williams",Road Trip To Venus,r&drill,2021-09-24,205746,0,2022-08-20 14:22:23
Any Day Now,Trousdale,What Happiness Is,modern indie folk,2021-11-12,201253,33,2022-08-15 10:07:13
feel anything,vaultboy,vaultboy EP,singer-songwriter pop,2022-01-14,131744,51,2022-08-15 09:28:53
rocket science,vaultboy,rocket science,singer-songwriter pop,2021-11-09,152987,65,2022-08-15 09:25:02
the author,Luz,the author,"alt z, gen z singer-songwriter, irish pop",2020-09-18,217213,46,2022-08-05 17:05:22
When You're Not Okay,Ashley Kutcher,One Eighty,"alt z, gen z singer-songwriter",2021-11-19,151986,43,2022-08-05 16:25:51
Little Bit of Love - Acoustic,Tom Grennan,Little Bit of Love (Acoustic),uk pop,2021-01-29,216487,31,2022-08-05 15:25:13
When I´m Still Getting Over You (feat. Paige),"Peder Elias, Paige",Love & Loneliness,norwegian pop,2022-04-29,173242,45,2022-08-05 15:19:02
This is the Place,Tom Grennan,Evering Road (Deluxe),uk pop,2021-03-12,185613,44,2022-08-05 14:27:06
"No Problem, Fam",Shakka,Road Trip To Venus,r&drill,2021-09-24,196440,0,2022-08-05 12:28:06
Lost Without You (with Dean Lewis),"Kygo, Dean Lewis",Lost Without You (with Dean Lewis),"edm, pop, pop dance, tropical house",2022-07-08,203609,56,2022-08-05 09:51:09
North,Fly By Midnight,Silver Crane,singer-songwriter pop,2021-11-19,214856,46,2022-08-03 16:39:36
Dance,Fly By Midnight,What If I Wasn't Done Loving You?,singer-songwriter pop,2022-07-29,192283,12,2022-08-03 16:18:56
counting houses,Luz,counting houses (acoustic),"alt z, gen z singer-songwriter, irish pop",2021-04-30,200853,10,2022-08-03 10:49:03
chaotic,Tate McRae,chaotic,pop,2022-03-25,178720,4,2022-08-03 09:33:34
Over You,Jamie Miller,Broken Memories,"pop soul, singer-songwriter pop",2022-04-29,153426,41,2022-08-03 09:22:54
I Lost Myself In Loving You,Jamie Miller,Broken Memories,"pop soul, singer-songwriter pop",2022-04-29,201306,60,2022-08-03 09:22:27
Longer,Jamie Miller,Broken Memories,"pop soul, singer-songwriter pop",2022-04-29,175760,45,2022-08-03 08:56:33
Hotel Room,Blake Rose,Hotel Room,"australian electropop, singer-songwriter pop",2018-11-02,205386,0,2022-08-02 08:55:04
Best of Me,Blake Rose,Best of Me,"australian electropop, singer-songwriter pop",2019-04-19,213123,0,2022-08-02 08:50:27
Beachboy,McCafferty,Beachboy,"alternative emo, pov: indie",2014-01-01,199341,63,2022-08-02 08:41:41
Demon,Blake Rose,Demon,"australian electropop, singer-songwriter pop",2022-04-26,165676,0,2022-08-02 08:13:38
In My Feelings,Blanks,Nothing Lasts Forever And That's OK (Deluxe),,2022-07-15,179509,26,2022-08-02 08:06:15
Global Warming,Sasha Alex Sloan,I Blame The World,alt z,2022-05-13,180800,31,2022-07-29 10:57:52
Someday - Acoustic,OneRepublic,Human (Deluxe),"piano rock, pop",2021-08-27,185550,39,2022-07-18 10:57:47
Another Day,Fiji Blue,Goodbye,"chill pop, chill r&b",2021-11-18,153267,20,2022-07-18 10:29:06
Picture,Fiji Blue,"I Loved You, What Happened?","chill pop, chill r&b",2022-07-01,191397,35,2022-07-18 10:18:05
Up Down,Fiji Blue,"I Loved You, What Happened?","chill pop, chill r&b",2022-07-01,190515,41,2022-07-18 10:10:57
Steady for You - Acoustic,"LANNÉ, Rasmus Hagen, Pellegrini",Steady for You (Acoustic),slap house,2022-07-08,163680,14,2022-07-18 10:07:01
BLENDER,5 Seconds of Summer,BLENDER,"boy band, pop",2022-07-13,147744,0,2022-07-16 13:57:16
fleabag - acoustic,YUNGBLUD,fleabag - acoustic,"british indie rock, modern rock, pov: indie, rock",2021-09-24,189767,37,2022-07-13 14:56:27
miss me (when you're gone),Will Linley,miss me (when you're gone),singer-songwriter pop,2021-11-12,184915,0,2022-07-13 14:56:18
Stupid Deep - Acoustic,Jon Bellion,Stupid Deep (Acoustic),indie pop rap,2019-05-31,159594,38,2022-07-13 14:56:04
Blu - Acoustic,Jon Bellion,Blu (Acoustic),indie pop rap,2019-06-07,180531,40,2022-07-13 14:55:54
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","piano rock, pop",2022-05-13,148485,83,2022-07-13 10:51:01
Stay High,Annika Wells,Stay High,la pop,2022-05-06,205714,26,2022-07-06 11:44:29
i don't want to watch the world end with someone else,Clinton Kane,i don't want to watch the world end with someone else,"alt z, gen z singer-songwriter",2020-05-08,184505,61,2022-07-06 08:17:12
Ben & Jerry,salem ilese,Ben & Jerry,"alt z, modern indie pop",2021-08-19,158395,0,2022-07-05 13:56:20
I can't look at you,Jeremy Zucker,CRUSHER,"alt z, electropop, pop",2021-10-01,176480,34,2022-07-05 13:35:03
It Is What It Is,Jamie Miller,Broken Memories,"pop soul, singer-songwriter pop",2022-04-29,125746,67,2022-07-05 13:20:04
GO TO HELL,Clinton Kane,GO TO HELL,"alt z, gen z singer-songwriter",2021-12-03,183786,49,2022-07-05 08:06:03
14,Clinton Kane,14,"alt z, gen z singer-songwriter",2022-06-03,141796,37,2022-07-04 17:34:20
All 4 Nothing (I'm So In Love),Lauv,All 4 Nothing (I'm So In Love),pop,2022-04-08,183014,56,2022-07-04 17:27:40
How Do You Love Somebody,Why Don't We,How Do You Love Somebody,"boy band, pop",2022-05-31,180065,55,2022-07-04 14:56:57
Just Friends,Why Don't We,Just Friends,"boy band, pop",2022-05-13,155648,54,2022-07-04 14:55:07
Waves,Dean Lewis,A Place We Knew,"australian pop, pop",2019-03-22,240013,72,2022-07-04 14:50:25
more than life (feat. glaive),"mgk, glaive",more than life (feat. glaive),"ohio hip hop, pop rap",2022-06-10,196465,32,2022-07-04 14:17:32
Lost,Blake Rose,Lost,"australian electropop, singer-songwriter pop",2019-02-08,234623,0,2022-06-15 12:31:45
People Watching,Conan Gray,People Watching,"bedroom pop, pop, pov: indie",2021-07-15,158536,60,2022-06-15 11:04:24
At the End of the Day,Wallows,At the End of the Day,pov: indie,2022-03-04,233466,36,2022-06-15 11:04:22
24,sundial,24,,2021-10-08,133897,49,2022-06-15 11:04:18
Modern Art,Annika Wells,Modern Art,la pop,2022-03-11,159157,21,2022-06-15 11:04:18
Oh shit…are we in love?,Valley,Last Birthday,"hopebeat, indietronica, singer-songwriter pop",2021-10-01,155384,54,2022-06-15 11:04:17
Soft Rock,CXLOE,Soft Rock,"alt z, australian alternative pop, australian electropop, uk pop",2021-08-19,151786,0,2022-06-15 11:04:15
Come With Me,"Surfaces, salem ilese",Pacifico,bedroom soul,2021-06-25,209732,3,2022-06-15 11:04:15
Kids,Sophia Alexa,Kids,,2022-01-14,129975,11,2022-06-15 11:04:13
hate to be lame (feat. FINNEAS),"Lizzy McAlpine, FINNEAS",hate to be lame,"alt z, boston folk, indie pop, singer-songwriter pop",2022-04-05,156798,0,2022-06-15 11:04:10
Dream Girl Evil,Florence + The Machine,Dance Fever,"baroque pop, modern rock, neo mellow, uk alternative pop",2022-05-13,227374,58,2022-06-15 11:04:09
Yours,Conan Gray,Yours,"bedroom pop, pop, pov: indie",2022-05-19,204967,29,2022-06-15 11:04:08
As It Was,Harry Styles,As It Was,pop,2022-03-31,167303,32,2022-06-15 11:04:05
Call Me A Dreamer,Kings Elliot,Call Me A Dreamer,,2021-11-03,228798,36,2022-06-15 11:03:53
Mess It Up,Gracie Abrams,Mess It Up,alt z,2021-05-07,171280,74,2022-06-15 11:03:52
Lose My Mind (feat. Josh Franceschi) - Acoustic,"James Arthur, You Me At Six, Josh Franceschi",Lose My Mind (feat. Josh Franceschi) [Acoustic],"pop, talent show, uk pop",2022-03-25,199732,36,2022-06-15 11:03:50
Butterflies,Rhys,Thanks a lot now I can’t smile,swedish pop,2022-03-04,169866,13,2022-06-15 11:03:48
frown,mxmtoon,rising,"alt z, bedroom pop, indie pop, pov: indie",2022-05-20,139386,0,2022-06-15 11:03:45
Is It Worth Being Sad,Meg Mac,Is It Worth Being Sad,australian indie,2022-03-01,241248,4,2022-06-15 11:03:42
The Days,Sandro Cavazza,The Days,swedish pop,2022-03-04,156554,47,2022-06-15 11:03:40
Head on Fire - Acoustic Version,"Griff, Sigrid","Head On Fire (feat. Sigrid, King Princess and MØ)","alt z, uk pop",2022-03-04,197597,12,2022-06-15 11:03:39
Makes Me Happy,Transviolet,Makes Me Happy,"alt z, indie poptimism, metropopolis",2022-01-28,172682,0,2022-06-15 11:03:33
If You're Serious,The Chainsmokers,So Far So Good,pop,2022-05-13,224668,0,2022-06-15 11:03:32
There's No Way (feat. Julia Michaels),"Lauv, Julia Michaels",There's No Way,pop,2018-09-27,174860,0,2022-05-26 14:58:30
COMPLETE MESS,5 Seconds of Summer,Me Myself & I,"boy band, pop",2022-05-11,206361,0,2022-05-26 09:08:59
Me Myself & I,5 Seconds of Summer,Me Myself & I,"boy band, pop",2022-05-11,177879,28,2022-05-26 09:04:44
Velcro (feat. Gus Dapperton),"spill tab, Gus Dapperton",Velcro (feat. Gus Dapperton),modern indie pop,2021-11-30,192793,36,2022-05-13 12:25:41
Hunger,Florence + The Machine,High As Hope,"baroque pop, modern rock, neo mellow, uk alternative pop",2018-06-29,214666,60,2022-05-13 12:14:23
Let Me Down Easy (Lie),Why Don't We,Just Friends,"boy band, pop",2022-05-13,151414,25,2022-05-13 11:30:22
At the End of the Day,Wallows,Tell Me That It’s Over,pov: indie,2022-03-25,233466,52,2022-05-04 12:39:33
Happy Fucking Birthday,Rhys Lewis,Happy Fucking Birthday,uk pop,2022-03-18,219160,21,2022-04-19 11:32:52
Take My Hand,5 Seconds of Summer,Take My Hand,"boy band, pop",2022-04-01,239865,0,2022-04-18 02:53:10
Train Wreck,James Arthur,Back from the Edge,"pop, talent show, uk pop",2016-10-28,208826,77,2022-04-18 02:51:39
Love Sucks,Annika Wells,Love Sucks,la pop,2021-04-16,154578,22,2022-04-18 02:49:14
Good Without,Mimi Webb,Good Without,"alt z, gen z singer-songwriter, uk pop",2021-03-26,182121,57,2022-04-18 02:49:10
Emotional,Glowe,Emotional,uk pop,2022-02-18,180000,5,2022-04-18 02:30:10
Miss The Party,"Clara Mae, Maximillian",Learning Experience,"alt z, swedish pop",2022-04-08,192836,34,2022-04-18 02:26:06
Come With Me,"Surfaces, salem ilese",Pacifico - Deluxe,bedroom soul,2021-09-03,209732,0,2022-04-18 02:22:44
September - Acoustic,James Arthur,September,"pop, talent show, uk pop",2021-06-10,221975,38,2022-04-18 02:09:37
Be Your Man - Acoustic,Rhys Lewis,Things I Chose To Remember,uk pop,2020-07-10,204040,6,2022-04-18 01:53:50
SOS,James Arthur,SOS,"pop, talent show, uk pop",2021-10-22,221086,39,2022-04-18 01:50:06
Losing You - Acoustic,James Arthur,Losing You (Acoustic),"pop, talent show, uk pop",2022-04-08,224297,36,2022-04-18 01:19:04
Don't Break the Heart,Tom Grennan,Evering Road - Special Edition,uk pop,2021-09-03,229133,54,2022-04-17 23:50:55
Remind Me,Tom Grennan,Remind Me,uk pop,2022-03-18,211167,56,2022-04-17 23:50:45
Again & Again,"Fly By Midnight, ELLIANA",Again & Again,singer-songwriter pop,2021-10-29,169411,17,2022-02-07 21:21:18
The Walls Are Way Too Thin,Holly Humberstone,The Walls Are Way Too Thin,"alt z, indie pop, modern alternative pop, uk pop",2021-11-12,221933,43,2022-02-07 21:05:56
Vanilla (Stairwell Version),Holly Humberstone,Vanilla (Stairwell Version),"alt z, indie pop, modern alternative pop, uk pop",2020-10-28,246070,41,2022-02-07 21:05:32
Scarlett,Holly Humberstone,The Walls Are Way Too Thin,"alt z, indie pop, modern alternative pop, uk pop",2021-11-12,196226,45,2022-02-07 21:05:27
One Night,Griff,One Night,"alt z, uk pop",2021-08-26,167280,54,2022-02-06 22:20:16
London Is Lonely,Holly Humberstone,London Is Lonely,"alt z, indie pop, modern alternative pop, uk pop",2022-01-20,234760,45,2022-02-06 22:16:43
Not Sad Anymore,Clara Mae,Not Sad Anymore,"alt z, swedish pop",2021-06-18,195563,50,2022-02-06 22:12:04
Wishful Thinking,Gracie Abrams,This Is What It Feels Like,alt z,2021-11-12,160561,54,2022-02-06 22:08:46
The Bottom,Gracie Abrams,This Is What It Feels Like,alt z,2021-11-12,180488,59,2022-02-06 22:04:35
Rockland,Gracie Abrams,This Is What It Feels Like,alt z,2021-11-12,217368,60,2022-02-06 22:02:20
Feels Like,Gracie Abrams,This Is What It Feels Like,alt z,2021-11-12,152317,73,2022-02-06 22:00:34
